,0
0,17.33343701399689
1,17.508236705317874
2,16.83981542518128
3,16.486948529411762
4,18.255460218408736
5,18.409965437788017
6,16.608466257668713
7,16.06522153406384
8,12.42084921066957
9,17.635963302752295
10,14.696772151898735
11,16.514414414414414
12,16.31120153183341
13,17.410129709697344
14,15.678824969400246
15,15.611339712918658
16,19.66257153758108
17,16.186618444846296
18,17.77220043572985
19,16.891331719128328
20,14.346069556931873
21,18.18884364820847
22,14.545497835497835
23,15.96896992962252
24,17.529703569267998
25,18.831403234220137
26,15.178779739063696
27,16.183421891604677
28,16.669750168804864
29,14.696999249812452
30,16.855675675675673
31,17.935209580838322
32,15.043777089783282
33,18.146487695749443
34,16.397576070139248
35,17.949099099099097
36,16.176295244854508
37,16.473938506588578
38,17.853061224489796
39,18.44406580493537
40,18.672752420470264
41,17.768029115341545
42,18.732777036048063
43,14.154769814902705
44,13.411702127659577
45,18.949376880103134
46,13.727016306743058
47,16.960116569525393
48,17.179044425817267
49,17.290197069226885
50,15.808182601205859
51,17.948195013025682
52,18.852644773126094
53,18.614964459408906
54,16.463198959687908
55,17.557112413425678
56,17.343769230769233
57,14.405686789151357
58,17.542125000000002
59,18.209114249037228
60,17.457358490566037
61,15.5039846743295
62,17.81080550098232
63,16.98905058905059
64,18.551127049180327
65,17.62697825080981
66,12.582102908277406
67,17.566969273743016
68,13.537922339889057
69,12.928839922229423
70,16.865369649805444
71,16.635091277890467
72,19.715758754863813
73,17.39410447761194
74,18.86961861667744
75,17.740151515151513
76,17.21618759455371
77,16.712824106517168
78,15.662645011600928
79,17.308003300330036
80,12.4601644245142
81,14.237807986406116
82,12.14385026737968
83,13.422525773195876
84,17.29700876740588
85,17.032779255319152
86,17.52424824056302
87,17.68099455040872
88,17.77182991647684
89,16.561094452773613
90,17.56581103222283
91,16.689441624365482
92,15.2017585931255
93,13.887762669962918
94,15.853966870095903
95,17.024273255813956
96,17.68994623655914
97,16.436121470431537
98,18.37479123173278
99,15.528943338437978
100,16.767436489607388
101,17.524528757854036
102,17.291601941747576
103,17.245123106060603
104,17.4101607347876
105,15.830717299578057
106,14.596460746460748
107,15.573925667828108
108,14.42046908315565
109,16.28289117487818
110,17.42225859247136
111,17.291135303265943
112,12.624111675126905
113,13.255651491365777
114,17.27688492063492
115,17.243890160183067
116,18.063187588152328
117,17.2885140562249
118,16.170876288659795
119,16.720000000000002
120,14.633263510682868
121,15.088093322606596
122,15.085996771589993
123,15.42434593023256
124,11.682116402116401
125,18.194692737430167
126,16.103088042049936
127,15.967964946445962
128,12.951056125528064
