,0
0,14.696820027063598
1,11.028590163934425
2,15.558845208845208
3,18.698214285714286
4,13.49608723540731
5,16.211166562694945
6,14.865724037055095
7,14.114165186500887
8,12.532585139318885
9,16.379888957433682
10,17.640810810810812
11,18.642857142857142
12,17.536408106219426
13,17.334735706580364
14,13.711370407149948
15,15.678489548213083
16,19.601780745687257
17,17.419163987138262
18,19.001581356637537
19,17.47072325682113
20,18.0165445026178
21,19.8657104736491
22,17.13670048522276
23,15.39532710280374
24,18.158108747044917
25,16.048571428571428
26,14.363777307963357
27,16.743119266055047
28,15.753311036789299
29,13.287400434467777
30,18.470892857142857
31,14.793121272365804
32,17.982642154766992
33,13.437142857142856
34,14.786101694915256
35,15.739173967459324
36,16.52874109263658
37,16.114051522248243
38,16.74525230602279
39,16.521270452358035
40,12.070812365204889
41,15.20673076923077
42,16.363655374320366
43,17.48468875502008
44,12.858503401360544
45,15.889738327347358
46,16.2255230125523
47,17.664107485604607
48,18.47940298507463
49,13.662882096069868
50,18.709513560051658
51,18.93370883882149
52,18.16248688352571
53,16.803529411764707
54,16.946248969497113
55,13.34181431608788
56,13.792880258899677
57,17.63609756097561
58,18.297847478474786
59,15.485165975103735
60,16.512230919765166
61,12.197718978102191
62,18.069863901490603
63,13.174652777777776
64,17.4800916496945
65,15.178012564249
66,18.828236397748594
67,18.22755144897102
68,14.150535540408958
69,17.40160891089109
70,17.819774011299433
71,13.882422293676312
72,16.44543280726925
73,15.655927272727272
74,15.517107001321005
75,15.475
76,17.205074257425743
77,16.740233415233416
78,18.061102444097763
79,13.46094977792962
80,12.233389168062535
81,16.46703910614525
82,19.593627674101047
83,17.444513274336284
84,17.452641878669276
85,18.154341085271316
86,14.949311294765842
87,16.069501915708816
88,18.321958456973295
89,16.252742616033757
90,14.30114167099118
91,15.936478599221791
92,11.613336688475087
93,13.088526981040351
94,13.165706806282722
95,12.406678921568627
96,12.34435582822086
97,16.27179487179487
98,15.018841183826593
99,19.232063334982684
100,17.889294026377037
101,14.639413680781757
102,12.494412010008341
103,17.365570175438595
104,17.484012841091495
105,15.427525987525986
106,17.67637314734089
107,14.883517495395948
108,15.20382882882883
109,15.121700223713647
110,15.3009793814433
111,15.391442155309033
112,13.271822272215973
113,15.876292882744496
114,15.066666666666668
115,15.121385799828914
116,17.948452426442493
117,15.323031914893617
118,14.590525477707008
119,18.06152702032722
120,13.933158289572393
121,16.348435277382645
122,16.336158192090394
123,17.84871963230466
124,18.195376884422114
125,16.598768632534025
126,18.435359477124184
127,16.196685998343
128,17.717216556688662
129,15.91941923774955
130,16.77307479224377
131,17.975094024237357
132,17.737956888472354
133,19.285472818638652
134,16.95532815808045
135,14.811496350364965
136,16.933881779402803
137,14.857597911227156
138,17.480364858377342
