,IMO,LENGTH ,BREATH,DEPTH,DRAUGHT,TEU,LLINO
109,9467043,264.28,,21.5,13.5,4616.0,1068671
110,9467055,264.27,,21.5,13.5,4616.0,1068672
111,9465095,333.58,,24.5,14.5,8400.0,1068673
112,9466960,333.58,43.2,24.5,14.5,8411.0,1068674
113,9466972,333.59,43.2,24.5,14.5,8411.0,1068675
114,9466984,332.74,44.0,24.5,24.5,8411.0,1068676
115,9611046,143.18,23.0,11.3,8.3,1100.0,10688337
116,9611034,143.17,,11.3,8.3,1100.0,10688338
117,9611058,143.18,,11.3,8.3,1042.0,10688430
118,9609419,146.03,146.0,11.4,8.21,900.0,10705864
119,9612870,299.94,45.59,24.6,13.5,8004.0,10742038
120,9612882,299.97,45.59,24.6,13.5,8004.0,10742041
121,9426324,179.7,27.7,15.9,10.71,1794.0,1074415
122,9501772,179.72,28.0,15.9,10.7,1794.0,1074416
123,9443487,261.1,32.25,19.3,12.6,4250.0,1074444
124,9443475,261.07,32.25,19.3,12.6,4250.0,1074445
125,9443463,261.04,32.25,19.3,12.6,4250.0,1074446
126,9471238,261.03,32.25,19.3,12.6,4250.0,1074451
127,9477787,261.1,32.25,19.3,12.6,4250.0,1074455
128,9471202,261.09,32.25,19.3,12.6,4250.0,1074456
129,9471214,261.06,32.25,19.3,12.6,4250.0,1074457
130,9471226,261.08,32.25,19.3,12.6,4250.0,1074458
131,9503691,179.72,,15.9,10.72,1794.0,1074475
132,9509774,180.37,25.0,14.2,9.5,1496.0,1074485
133,9509786,180.36,25.0,14.2,9.5,1496.0,1074486
134,9509803,180.38,25.0,14.2,9.5,1496.0,1074488
135,8977041,80.0,9.0,,—,,10760942
136,9461893,349.0,45.6,27.3,15.52,10106.0,1091771
137,9461867,349.27,45.6,27.3,13,10100.0,1091853
138,9461881,349.0,45.6,27.3,15.53,10106.0,1091971
139,9461879,349.0,45.6,27.3,15.53,10106.0,1092302
140,9464247,262.08,32.2,19.5,12.5,4398.0,1093954
141,9464314,262.07,32.25,19.5,12.5,4400.0,1097952
142,9463011,366.32,48.2,27.3,15.5,13092.0,1098134
143,9463023,366.32,48.2,29.85,15.52,13092.0,1098135
144,9463035,366.32,48.2,29.85,15.52,13092.0,1098136
145,9463047,366.32,48.2,29.85,15.52,13092.0,1098264
146,9613771,124.5,21.0,10.7,7.4,464.0,10982822
147,9463059,366.32,48.26,29.85,15.5,13092.0,1098376
148,9619426,299.0,,24.8,14.52,8762.0,10990858
149,9629110,334.8,,24.6,13.5,8488.0,10994530
150,9613587,334.84,,24.8,14.65,8888.0,10996180
151,9627899,299.9,,24.0,14.5,8704.0,10996186
152,9619919,399.0,59.0,30.3,16,18270.0,10996187
153,9625293,171.94,27.46,13.8,6.7,1705.0,10996220
154,9625413,254.9,,19.6,11,4574.0,10996227
155,9629419,143.0,22.6,11.3,8.2,1000.0,10996228
156,9626259,169.96,,14.2,9.5,1700.0,10996248
157,9628178,300.05,,24.6,14.5,8827.0,10996263
158,9619452,299.18,,20.16,14.5,8762.0,10996282
159,9626053,227.97,,19.3,12.5,3832.0,10996536
160,9614529,199.0,,15.5,10.5,2082.0,10996537
161,9626235,169.95,,14.2,9.5,1700.0,10996553
162,9626429,222.0,,16.8,12,2800.0,10996566
163,9628324,266.0,,19.3,12.7,4335.0,10996572
164,9622617,366.47,48.2,29.8,15.52,13200.0,10996580
165,9619995,399.0,,30.3,16,18270.0,10996581
166,9623843,249.95,,19.6,13,4834.0,10996594
167,9622605,366.47,48.2,29.8,14,13200.0,10996602
168,9622588,366.47,48.2,29.8,14,13200.0,10996605
169,9618276,300.02,,24.6,14.5,8827.0,10996630
170,9612777,223.91,,19.3,12.5,3800.0,10996633
171,9624299,255.17,,19.5,13.02,4662.0,10996634
